index,skill_resource_name,RUID,source,known_era_version_date,chronology_confidence,style_priority,effect_family,visual_density,screen_occupancy,color_structure,hit_treatment,trail_treatment,fragment_treatment,animation_rhythm,icon_usefulness,preview_status,notes,zip_member,sha256,local_copy
34,animationclip-657764,2643498ff2bb4b4a8a55c480f00373a4,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,mixed/unknown,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 3개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: 초보자 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0034_animationclip-657764/preview.png,44fd566158d69d917d394156de78f6a055b9952bbc832725dedacd02fa542be9,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_034.png
35,animationclip-657878,27e15f18340044509dc75492c362c865,MSW 공식 리소스 검색 API thumbnail,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,LOW,RECENT_SECONDARY,mixed/unknown,high,medium,대표색 #DFCBDF; dark 0%/mid 12%/bright 88%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 17개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: HEXA 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0035_animationclip-657878/preview.png,0daff2ee0463b5c40ff6e68f41ffda9461f977d48cb1b5dcc4e8489cd9e6f2a5,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_035.png
36,animationclip-658065,2ba72c9b0bdd4e2fb33269262e9a7dea,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,wave/area,high,medium,대표색 #FFD0B7; dark 0%/mid 9%/bright 91%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 14개; 실제 지연값 미확보,보조,확보,s_bow_05:폭풍의 시:effect_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0036_animationclip-658065/preview.png,c6cdbe8e1bb261a7bdeb7384f2ee6d724e15529aa427e2cf601638c0e79055f8,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_036.png
37,animationclip-1038614,2c12c1e835a04c2a9ec1c5724846a7b6,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,wave/area,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 14개; 실제 지연값 미확보,보조,확보,s_mon_mano:마노의 무지개 파동:layer_ruids; s_mon_slime:끈적한 몸통:layer_ruids; s_mon_starfish:별가시 회전:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0037_animationclip-1038614/preview.png,d6ed97b76cb813e0aa62bf8e1ac00286b66a95717049899249a962209f7eda6d,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_037.png
38,animationclip-658167,2d3a1370a91d4da99ecfb42d7cced7c5,MSW 공식 리소스 검색 API thumbnail,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,LOW,RECENT_SECONDARY,mixed/unknown,high,medium,대표색 #FAF8FF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: HEXA 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0038_animationclip-658167/preview.png,3f5d4c3f663fe3534309edf34716afc8c3d8298d4d28a0fbecae69c737c623cd,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_038.png
39,animationclip-658323,2ed6be9152eb4bf0b22f4ca6e6fff9fe,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,layered VFX,high,medium,대표색 #FFFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 9개; 실제 지연값 미확보,보조,확보,s_bow_01:애로우 블로우:effect_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0039_animationclip-658323/preview.png,2e52a5a2d23ac48f8bb4641556b730b09002bf4400bc10b22fd2785776ad4bfd,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_039.png
40,animationclip-1040037,2f4311e974a44f218bedd1011a561310,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,mixed/unknown,high,medium,대표색 #E0F0FE; dark 0%/mid 1%/bright 99%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: 초보자 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0040_animationclip-1040037/preview.png,3124eb039d62b2be13979b36f68e23c413cc4e125412093d10a795bf77c1ec8b,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_040.png
41,피아누스,306a9aafa3fb43498f1b783b85512305,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,beam,high,medium,대표색 #FFDBAD; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 2개; 실제 지연값 미확보,보조,확보,s_mon_pianus:심해왕의 광선:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0041_피아누스/preview.png,59d0cc555d98fb391fc4ac5f2d02773b1d00cf0a068a1b44a11909791d8aa24a,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_041.png
42,animationclip-658386,30afd80ab7a34a3d978efd8e83a6eb31,MSW 공식 리소스 검색 API thumbnail,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,LOW,RECENT_SECONDARY,mixed/unknown,high,medium,대표색 #FEFDFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 11개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: HEXA 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0042_animationclip-658386/preview.png,3ad71a0fab44cdc1bb8a392ac7769ed69878a850a804be77caf7d9bcc42aa010,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_042.png
43,태륜,353079a9d111455ab55d75577f9d7967,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFE1C9; dark 0%/mid 4%/bright 96%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,s_mon_tae_roon:태륜의 쌍권풍:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0043_태륜/preview.png,9c969e96f3b7379262e0172500c8f5a3e977540c5587157d5696cd669150919a,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_043.png
44,에인션트 다크골렘,3803b5c17bf04b56bef115b3afbf388b,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,impact/explosion,high,medium,대표색 #FEFFFF; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 16개; 실제 지연값 미확보,보조,확보,s_mon_ancient_dark_golem:고대 암흑 지진:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0044_에인션트_다크골렘/preview.png,e06e7cd714d672bd334a8ca28c3020febf5863b909384b1488f6d205b09baed1,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_044.png
45,피아누스,3822f5bc47af488585cef2f0929ec811,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,beam,high,medium,대표색 #FFFDF6; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 12개; 실제 지연값 미확보,보조,확보,s_mon_pianus:심해왕의 광선:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0045_피아누스/preview.png,e26931cbd444f9cc778a07310c4d430d5eed335d68bd855854c670c865fb4288,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_045.png
46,고목의 생기탄,383249b0f9254764aa758b1bcc9bfee9,프로젝트 보존 원본/반입 프레임,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,HIGH_PROJECT_ONLY,LEGACY_REFERENCE,icon,high,small,대표색 #8C714A; dark 28%/mid 10%/bright 62%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_stumpy:고목의 생기탄:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0046_고목의_생기탄/preview.png,504a71a914868e120414ceffd910418597b5785fdfe38cf7fe68de243e3e07e1,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_046.png
47,타우로마시스,3cbd85dcfe3c41c4989adec59385c257,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FCFFEB; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 3개; 실제 지연값 미확보,보조,확보,s_mon_tauromacis:수문장의 낙뢰:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0047_타우로마시스/preview.png,492007a1643d1a9a2d27d72af7dd34afe111c718e578a456fde5c0dec2899ec1,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_047.png
48,타이머,3ef6b2dcc75f4d4990e6e7f106bda49e,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,impact/explosion,high,medium,대표색 #B18B48; dark 9%/mid 16%/bright 75%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 26개; 실제 지연값 미확보,보조,확보,s_mon_timer:시간 정지 충격:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0048_타이머/preview.png,99e41237e57b9321f44a89df53b72926659c477b7823f2c1c65651581eb4405d,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_048.png
49,네오 휴로이드,3ff44a80daba4bb4a903778e036f551d,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #E9E9E9; dark 0%/mid 10%/bright 90%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 9개; 실제 지연값 미확보,보조,확보,s_mon_roid:알카드노 에너지탄:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0049_네오_휴로이드/preview.png,6afafa2db17e9b7bed3d636c33b94f6a4711234c77c5cd19d137d269b4de5455,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_049.png
50,시스템 몬스터E10,412bce166c844b07ba1b4aa3ddcd53fa,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #F9FFEC; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,s_mon_meercat:미요캐츠의 모래매복:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0050_시스템_몬스터E10/preview.png,f2ed560d92a272e613b4f04e5b2a57f1402c6dcce56d192e843eafbb259d01c4,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_050.png
51,추억의 수호대장,4147dea424e9475ca1a61773421a3397,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFFFFC; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,s_mon_chief_memory_guardian:시간 수호진:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0051_추억의_수호대장/preview.png,e7a794edbcfa65d0be133d49438881ae0ae82264713f644f541da0371ce105d7,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_051.png
52,sprite-8914285,429228115d56462ab0f65e7294a51609,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,icon,high,small,대표색 #FDB449; dark 14%/mid 23%/bright 63%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_hero_02:브랜디쉬:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0052_sprite-8914285/preview.png,8117dbc2cf4091ae0974311a52ae3fab3cb7d3c7c2504104099a22b363c3dd3b,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_052.png
53,???,4292e76ef5034a42976afa7988d0a85c,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,icon,high,small,대표색 #B13848; dark 49%/mid 15%/bright 36%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_red_snail:붉은 껍질 돌진:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0053____/preview.png,a4a3039efe997e4856da1fb5d523c419b0526223af32587e00f9b210dc4ea397,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_053.png
54,[★] 정식기사C,439308ddd0bf4405a8463340c67a464b,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFEFE7; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_official_knight_c:기사단 뇌전 연각:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0054_[★]_정식기사C/preview.png,939fd01a642e343aaf6aecb182638f73d734c3969421b3a02539b962cf2babe3,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_054.png
55,animationclip-659710,46198aa7dd8245b59ea37305c57df9f0,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,layered VFX,high,medium,대표색 #FDD09D; dark 0%/mid 7%/bright 93%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 10개; 실제 지연값 미확보,보조,확보,s_bow_04:피닉스:effect_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0055_animationclip-659710/preview.png,3df05d5b2f8b2e57e02e1caaa65fe33c9053cd7112fd01693413f9d0af7094c3,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_055.png
56,sprite-12846807,483690e55c974444aef84df3a6331d93,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,icon,high,small,대표색 #F5CD81; dark 11%/mid 18%/bright 71%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_hero_03:오라 블레이드:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0056_sprite-12846807/preview.png,da36081020aeb49c2116a6e8106285f7588e35d00c8ee581b4a995ad3bf316b7,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_056.png
57,파우스트,49b21aaa1d574ba787149841a31bf1a5,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #C6B33B; dark 3%/mid 14%/bright 83%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 4개; 실제 지연값 미확보,보조,확보,s_mon_faust:저주의 인형:projectile_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0057_파우스트/preview.png,76f481c495d629dc27a4bea0b826ef206666921dd8598b615ba5f612eddae3e2,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_057.png
58,루나픽시,4f6509d9539f4d76a9bb4e8f17e12cc7,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #A1CAFF; dark 0%/mid 13%/bright 87%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 3개; 실제 지연값 미확보,보조,확보,s_mon_lunar_pixie:월광 구슬:projectile_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0058_루나픽시/preview.png,dd0441b60d6bbc3e943632cfc3b2a874f825fd448f94023925f2f5a93c5533b4,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_058.png
59,메카티안,50eff4b9b8064efa8db5246e7a912c4d,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,beam,high,medium,대표색 #FFF7F9; dark 0%/mid 1%/bright 99%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 8개; 실제 지연값 미확보,보조,확보,s_mon_mecateon:기계화 레이저:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0059_메카티안/preview.png,a168ffb75355af49a5b78753cf6220ac723fbeec4248e8a1cae12320cdef1987,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_059.png
60,몸통 박치기,518cc119c1c04b8797090175d9f015f2,프로젝트 보존 원본/반입 프레임,프로젝트 T20/T32/T37 직접 제작 아이콘 기록,HIGH_PROJECT_ONLY,LEGACY_REFERENCE,icon,high,small,대표색 #779488; dark 23%/mid 10%/bright 67%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_mon_snail:몸통 박치기:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0060_몸통_박치기/preview.png,e1d719905fce5b4111f9217a62983763b4b9deba1e715c210df85c4e693019bc,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_060.png
61,블러드 하프,518e72a0592d48b3b3e451be46a4f39e,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,layered VFX,high,medium,대표색 #FFDDC3; dark 0%/mid 4%/bright 96%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,s_mon_blood_harp:핏빛 깃울림:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0061_블러드_하프/preview.png,3b7935a013c048b45b00c01e59a501c13e5b4463a53f9c3fcd5de785a9dab111,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_061.png
62,sprite-8916132,52162587bc534b9385af8c77513d93d4,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,icon,high,small,대표색 #747881; dark 26%/mid 41%/bright 33%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 1개; 실제 지연값 미확보,높음,확보,s_hero_def:아이언 바디:icon_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0062_sprite-8916132/preview.png,d816677541f4b0a208989c488f8d983817952a12b4ed498d6d435134c4e4c526,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_062.png
63,animationclip-1038337,5308ef85369c4f31843d6e8cde4b1012,MSW 공식 리소스 검색 API thumbnail,프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인,MEDIUM,LEGACY_REFERENCE,layered VFX,high,medium,대표색 #FFFDFB; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 14개; 실제 지연값 미확보,보조,확보,s_hero_04:레이징 블로우:effect_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0063_animationclip-1038337/preview.png,4aded54ee2c951dd078446f1f10e6c402ccc6fe45400a598682027075d3ff18c,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_063.png
64,태륜,5328a3875a32437784c949579f259a00,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,projectile,high,medium,대표색 #AFECFE; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 6개; 실제 지연값 미확보,보조,확보,s_mon_tae_roon:태륜의 쌍권풍:projectile_ruid,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0064_태륜/preview.png,77a0d208c81e4eed0296062973997a183bebf60d195e5b771aa50252c784efec,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_064.png
65,animationclip-660545,544b4092b87a41948b74e6645d530b88,MSW 공식 리소스 검색 API thumbnail,리소스 API에 출시 시기 메타데이터 없음,NONE,UNKNOWN,impact/explosion,high,medium,대표색 #665A89; dark 24%/mid 6%/bright 70%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 12개; 실제 지연값 미확보,보조,확보,s_mon_octopus:먹물 폭발:layer_ruids; s_mon_shade:심연의 장막:layer_ruids,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0065_animationclip-660545/preview.png,894d35dbee36518b870cee4a3e5ce19d56de4ca3ac3494a101efd2e8217e6f26,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_065.png
66,animationclip-1040165,5518aba1defc4a53b7593109b09959b4,MSW 공식 리소스 검색 API thumbnail,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,LOW,RECENT_SECONDARY,mixed/unknown,high,medium,대표색 #E9E9ED; dark 0%/mid 0%/bright 100%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 30개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: 6차 오리진 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0066_animationclip-1040165/preview.png,f173195646eda4e50bdc1440e585888b87ced3ccf888be9eedca4910b91175eb,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_066.png
67,animationclip-660634,55fd196846694198bd65c59356de0830,MSW 공식 리소스 검색 API thumbnail,6차/HEXA 의미 검색 후보; 정확한 스킬명·출시일 미확인,LOW,RECENT_SECONDARY,mixed/unknown,high,medium,대표색 #C3B6E9; dark 5%/mid 9%/bright 86%,개별 프리뷰에서 확인; 기능 복제 금지,개별 프리뷰에서 확인; 미표현일 수 있음,개별 프리뷰에서 확인; 미표현일 수 있음,메타데이터 프레임 5개; 실제 지연값 미확보,보조,확보,-:공식 검색 후보: 6차 오리진 스킬:supplementary_search,AREA_00_IMAGES_INPUT/global_skill_style_library/skills/0067_animationclip-660634/preview.png,e1708eeddd7d001653a3e0afe830448d9931f398858c7e53c0b792e19c4e887f,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\ref_067.png
